Timestamp,Event_Name,Department,Year,Rating,Comments,Suggestions,Attend_Again
2024-10-17,Cultural Night,IT,1st Year,1,Boring and unengaging.,More hands-on activities.,No
2024-12-06,Music Concert,CS,2nd Year,2,Very poorly organized.,Keep the hall cooler.,No
2024-11-11,Cultural Night,Mechanical,3rd Year,4,Great categorization and well managed.,"No suggestions, it was good.",Yes
2024-09-19,Cultural Night,IT,1st Year,2,The venue was too hot.,"No suggestions, it was good.",No
2024-09-10,Hackathon,Mechanical,3rd Year,4,Good but could be better.,Provide water bottles.,Yes
2024-02-13,Cultural Night,Electronics,4th Year,4,Great categorization and well managed.,Provide water bottles.,Yes
2024-05-21,Music Concert,IT,2nd Year,2,Boring and unengaging.,Start on time next time.,No
2024-03-17,Hackathon,Mechanical,3rd Year,5,Amazing event! learned a lot.,Provide water bottles.,Yes
2024-08-07,Music Concert,Management,2nd Year,3,Decent effort by the team.,Send slides after the event.,No
2024-12-10,AI Workshop,Management,2nd Year,2,Waste of time.,"No suggestions, it was good.",No
2024-11-23,Cultural Night,Mechanical,2nd Year,5,Really enjoyed the speakers.,Provide water bottles.,Yes
2024-04-17,AI Workshop,IT,1st Year,1,Waste of time.,More hands-on activities.,No
2024-08-21,Music Concert,Civil,3rd Year,2,Very poorly organized.,Start on time next time.,No
2024-07-16,Cultural Night,CS,4th Year,2,Boring and unengaging.,Start on time next time.,No
2024-12-18,Music Concert,Mechanical,2nd Year,4,Good but could be better.,More hands-on activities.,Yes
2024-08-17,AI Workshop,Management,4th Year,2,Boring and unengaging.,Better microphone needed.,No
2024-03-05,Career Fair,Mechanical,2nd Year,1,The venue was too hot.,Keep the hall cooler.,No
2024-10-22,AI Workshop,IT,1st Year,3,It was okay.,Keep the hall cooler.,No
2024-10-14,Tech Fest 2024,Management,4th Year,4,It was okay.,Invite more industry experts.,No
2024-12-27,Career Fair,Civil,3rd Year,1,Boring and unengaging.,Start on time next time.,No
2024-02-18,Tech Fest 2024,Electronics,2nd Year,1,The venue was too hot.,Better microphone needed.,No
2024-06-14,Cultural Night,Electronics,2nd Year,4,Really enjoyed the speakers.,Invite more industry experts.,Yes
2024-11-25,Cultural Night,Mechanical,3rd Year,2,Boring and unengaging.,Invite more industry experts.,No
2024-06-03,Career Fair,Civil,2nd Year,4,Great categorization and well managed.,Start on time next time.,Yes
2024-12-21,Cultural Night,Mechanical,3rd Year,2,Good but could be better.,Start on time next time.,No
2024-12-20,AI Workshop,Management,4th Year,2,Started very late.,Invite more industry experts.,No
2024-07-15,AI Workshop,IT,1st Year,3,Average experience.,Keep the hall cooler.,Yes
2024-05-28,AI Workshop,IT,4th Year,2,Good but could be better.,Provide water bottles.,Yes
2024-10-27,Career Fair,IT,1st Year,1,Waste of time.,Start on time next time.,No
2024-02-25,AI Workshop,Electronics,4th Year,5,Amazing event! learned a lot.,"No suggestions, it was good.",Yes
2024-07-09,Hackathon,Civil,1st Year,3,It was okay.,Start on time next time.,Yes
2024-04-28,Career Fair,CS,2nd Year,4,Great categorization and well managed.,Better microphone needed.,Yes
2024-05-19,Career Fair,Mechanical,4th Year,3,Average experience.,"No suggestions, it was good.",No
2024-04-16,Hackathon,Electronics,4th Year,1,Boring and unengaging.,"No suggestions, it was good.",No
2024-02-06,Music Concert,Management,3rd Year,4,Amazing event! learned a lot.,Start on time next time.,Yes
2024-01-20,Tech Fest 2024,IT,2nd Year,2,Average experience.,"No suggestions, it was good.",Yes
2024-08-21,Music Concert,Electronics,4th Year,3,It was okay.,Better microphone needed.,Yes
2024-02-18,Tech Fest 2024,Civil,1st Year,5,Best event of the year!,Better microphone needed.,Yes
2024-10-19,Career Fair,Civil,3rd Year,2,Decent effort by the team.,Better microphone needed.,Yes
2024-04-27,Cultural Night,Management,2nd Year,3,"Not bad, but timing was off.",Provide water bottles.,No
2024-02-24,Tech Fest 2024,Civil,4th Year,5,Great categorization and well managed.,Start on time next time.,Yes
2024-07-13,Cultural Night,Management,4th Year,4,The food was delicious!,Better microphone needed.,Yes
2024-02-05,Hackathon,Electronics,2nd Year,2,It was okay.,Provide water bottles.,No
2024-06-03,Music Concert,Electronics,4th Year,5,Best event of the year!,Invite more industry experts.,Yes
2024-04-09,AI Workshop,Civil,4th Year,4,Amazing event! learned a lot.,Send slides after the event.,Yes
2024-04-09,Career Fair,CS,4th Year,1,Boring and unengaging.,Start on time next time.,No
2024-05-07,Music Concert,IT,3rd Year,4,Everything was perfect.,Better microphone needed.,Yes
2024-02-27,Hackathon,Management,4th Year,3,Good but could be better.,Start on time next time.,Yes
2024-01-08,Career Fair,CS,2nd Year,2,Boring and unengaging.,Provide water bottles.,No
2024-09-10,Hackathon,Civil,3rd Year,2,Average experience.,Invite more industry experts.,Yes
2024-12-21,Music Concert,Electronics,3rd Year,4,Everything was perfect.,"No suggestions, it was good.",Yes
2024-08-05,Cultural Night,CS,4th Year,5,Everything was perfect.,More hands-on activities.,Yes
2024-12-09,AI Workshop,Civil,1st Year,2,Very poorly organized.,Send slides after the event.,No
2024-09-15,Career Fair,Electronics,2nd Year,2,It was okay.,Keep the hall cooler.,No
2024-02-08,AI Workshop,Electronics,2nd Year,4,It was okay.,Invite more industry experts.,No
2024-10-22,Tech Fest 2024,IT,4th Year,2,It was okay.,Invite more industry experts.,No
2024-09-02,AI Workshop,CS,1st Year,2,Good but could be better.,Keep the hall cooler.,No
2024-08-21,Tech Fest 2024,Electronics,4th Year,2,Good but could be better.,More hands-on activities.,Yes
2024-08-21,Tech Fest 2024,IT,1st Year,4,Everything was perfect.,Provide water bottles.,Yes
2024-08-22,Cultural Night,Civil,3rd Year,4,Amazing event! learned a lot.,Keep the hall cooler.,Yes
2024-08-22,Tech Fest 2024,Electronics,1st Year,2,Speaker was inaudible.,More hands-on activities.,No
2024-09-07,AI Workshop,Management,3rd Year,1,Speaker was inaudible.,Provide water bottles.,No
2024-11-12,Tech Fest 2024,Mechanical,2nd Year,2,Average experience.,Start on time next time.,Yes
2024-06-23,Career Fair,Mechanical,4th Year,3,Decent effort by the team.,Send slides after the event.,Yes
2024-04-15,Career Fair,Mechanical,3rd Year,5,Really enjoyed the speakers.,More hands-on activities.,Yes
2024-02-05,Tech Fest 2024,Electronics,3rd Year,2,Waste of time.,Send slides after the event.,No
2024-08-09,AI Workshop,Civil,1st Year,1,Boring and unengaging.,"No suggestions, it was good.",No
2024-01-17,Music Concert,Management,1st Year,1,The venue was too hot.,Keep the hall cooler.,No
2024-07-28,Music Concert,Mechanical,3rd Year,4,Great categorization and well managed.,"No suggestions, it was good.",Yes
2024-09-15,Music Concert,Electronics,1st Year,2,Waste of time.,Better microphone needed.,No
2024-01-21,AI Workshop,Electronics,2nd Year,3,It was okay.,Provide water bottles.,No
2024-01-23,AI Workshop,Mechanical,2nd Year,4,Everything was perfect.,More hands-on activities.,Yes
2024-10-13,Career Fair,CS,4th Year,2,Waste of time.,Provide water bottles.,No
2024-06-03,Cultural Night,IT,4th Year,2,Boring and unengaging.,Better microphone needed.,No
2024-02-22,Career Fair,IT,4th Year,4,It was okay.,Send slides after the event.,Yes
2024-08-14,Hackathon,Electronics,1st Year,2,Waste of time.,Keep the hall cooler.,No
2024-03-17,Music Concert,Civil,1st Year,5,Great categorization and well managed.,Better microphone needed.,Yes
2024-11-16,Career Fair,Civil,1st Year,2,"Not bad, but timing was off.",Invite more industry experts.,Yes
2024-01-20,AI Workshop,Electronics,4th Year,3,Decent effort by the team.,Keep the hall cooler.,Yes
2024-02-18,Career Fair,Mechanical,2nd Year,3,Good but could be better.,Send slides after the event.,No
2024-08-09,Tech Fest 2024,CS,3rd Year,5,Great categorization and well managed.,More hands-on activities.,Yes
2024-06-03,Music Concert,Management,2nd Year,3,Decent effort by the team.,Start on time next time.,No
2024-11-13,Music Concert,Civil,2nd Year,4,The food was delicious!,Better microphone needed.,Yes
2024-03-21,Hackathon,CS,2nd Year,5,Best event of the year!,Keep the hall cooler.,Yes
2024-05-23,AI Workshop,CS,1st Year,4,"Not bad, but timing was off.",Start on time next time.,Yes
2024-05-21,AI Workshop,Civil,1st Year,4,Amazing event! learned a lot.,Better microphone needed.,Yes
2024-02-23,Tech Fest 2024,Management,4th Year,3,"Not bad, but timing was off.","No suggestions, it was good.",No
2024-01-17,AI Workshop,Electronics,4th Year,4,Average experience.,Provide water bottles.,No
2024-07-06,Tech Fest 2024,Mechanical,2nd Year,3,Decent effort by the team.,Send slides after the event.,Yes
2024-11-03,Cultural Night,CS,1st Year,2,Good but could be better.,Invite more industry experts.,No
2024-09-25,AI Workshop,Management,4th Year,2,Started very late.,Better microphone needed.,No
2024-11-27,Career Fair,IT,4th Year,1,Boring and unengaging.,Start on time next time.,No
2024-02-06,Music Concert,Electronics,2nd Year,2,Decent effort by the team.,Invite more industry experts.,Yes
2024-07-18,Hackathon,CS,3rd Year,2,Good but could be better.,Better microphone needed.,No
2024-01-10,Career Fair,Management,3rd Year,2,"Not bad, but timing was off.",Start on time next time.,Yes
2024-12-12,Career Fair,Management,1st Year,4,Decent effort by the team.,Send slides after the event.,No
2024-12-16,Hackathon,Management,3rd Year,4,The food was delicious!,Keep the hall cooler.,Yes
2024-12-09,Tech Fest 2024,Management,2nd Year,2,"Not bad, but timing was off.",Invite more industry experts.,No
2024-07-05,AI Workshop,Management,3rd Year,4,Good but could be better.,Start on time next time.,Yes
2024-03-23,Career Fair,IT,2nd Year,1,Started very late.,Keep the hall cooler.,No
2024-11-18,Music Concert,Management,1st Year,4,The food was delicious!,Start on time next time.,Yes
2024-05-19,Music Concert,Management,4th Year,2,Very poorly organized.,Provide water bottles.,No
2024-06-27,Tech Fest 2024,Civil,1st Year,5,The food was delicious!,Invite more industry experts.,Yes
2024-07-15,Hackathon,Electronics,3rd Year,2,"Not bad, but timing was off.",Provide water bottles.,No
2024-05-21,Hackathon,CS,2nd Year,4,Good but could be better.,More hands-on activities.,Yes
2024-05-04,Tech Fest 2024,Electronics,2nd Year,2,"Not bad, but timing was off.",Provide water bottles.,No
2024-10-02,Career Fair,Civil,2nd Year,3,"Not bad, but timing was off.",More hands-on activities.,Yes
2024-04-21,Cultural Night,CS,3rd Year,4,"Not bad, but timing was off.",Send slides after the event.,Yes
2024-03-17,Cultural Night,Management,2nd Year,2,Boring and unengaging.,Invite more industry experts.,No
2024-04-23,Career Fair,Management,1st Year,3,"Not bad, but timing was off.",Provide water bottles.,Yes
2024-11-06,AI Workshop,IT,4th Year,1,The venue was too hot.,"No suggestions, it was good.",No
2024-07-11,Cultural Night,Electronics,3rd Year,2,The venue was too hot.,Start on time next time.,No
2024-01-26,Music Concert,Mechanical,3rd Year,1,Started very late.,Invite more industry experts.,No
2024-01-15,Hackathon,Electronics,2nd Year,2,It was okay.,Provide water bottles.,No
2024-09-12,Music Concert,Mechanical,3rd Year,4,Really enjoyed the speakers.,Send slides after the event.,Yes
2024-11-15,Music Concert,Civil,2nd Year,4,Everything was perfect.,Send slides after the event.,Yes
2024-08-03,Music Concert,Mechanical,1st Year,3,Good but could be better.,Provide water bottles.,No
2024-05-17,Cultural Night,Mechanical,1st Year,1,Started very late.,Keep the hall cooler.,No
2024-02-21,Hackathon,Management,2nd Year,1,The venue was too hot.,Invite more industry experts.,No
2024-02-05,Music Concert,CS,2nd Year,1,Boring and unengaging.,Invite more industry experts.,No
2024-03-19,Tech Fest 2024,CS,4th Year,5,Amazing event! learned a lot.,Send slides after the event.,Yes
2024-03-01,Career Fair,Electronics,1st Year,4,Decent effort by the team.,Provide water bottles.,No
2024-04-23,Career Fair,CS,3rd Year,3,"Not bad, but timing was off.",Provide water bottles.,Yes
2024-02-08,Cultural Night,IT,1st Year,2,Waste of time.,Keep the hall cooler.,No
2024-05-21,Cultural Night,CS,1st Year,2,Speaker was inaudible.,Start on time next time.,No
2024-08-09,Career Fair,CS,4th Year,5,The food was delicious!,Send slides after the event.,Yes
2024-04-21,AI Workshop,Management,2nd Year,1,Waste of time.,More hands-on activities.,No
2024-03-23,Career Fair,Mechanical,4th Year,2,Average experience.,Provide water bottles.,No
2024-03-17,Hackathon,Management,3rd Year,2,Decent effort by the team.,Provide water bottles.,Yes
2024-09-08,Hackathon,IT,3rd Year,4,Amazing event! learned a lot.,Send slides after the event.,Yes
2024-04-04,AI Workshop,Mechanical,1st Year,2,Waste of time.,Send slides after the event.,No
2024-01-20,Music Concert,Electronics,2nd Year,1,Boring and unengaging.,More hands-on activities.,No
2024-04-26,Tech Fest 2024,IT,1st Year,1,Speaker was inaudible.,More hands-on activities.,No
2024-03-16,Cultural Night,Electronics,3rd Year,2,"Not bad, but timing was off.",Provide water bottles.,No
2024-12-10,Music Concert,Electronics,4th Year,4,Really enjoyed the speakers.,Start on time next time.,Yes
2024-11-01,AI Workshop,Management,3rd Year,1,The venue was too hot.,Invite more industry experts.,No
2024-08-14,Hackathon,Mechanical,1st Year,2,"Not bad, but timing was off.",Send slides after the event.,Yes
2024-08-05,Cultural Night,IT,1st Year,1,Very poorly organized.,More hands-on activities.,No
2024-03-22,Music Concert,Civil,1st Year,2,"Not bad, but timing was off.",Provide water bottles.,Yes
2024-05-02,Hackathon,Management,4th Year,5,Best event of the year!,More hands-on activities.,Yes
2024-06-03,Career Fair,IT,1st Year,1,Speaker was inaudible.,Provide water bottles.,No
2024-06-08,Music Concert,Civil,2nd Year,2,Very poorly organized.,More hands-on activities.,No
2024-06-22,Hackathon,Electronics,1st Year,3,"Not bad, but timing was off.",Provide water bottles.,No
2024-07-27,Cultural Night,Electronics,4th Year,4,Average experience.,Keep the hall cooler.,Yes
2024-02-26,Career Fair,Civil,3rd Year,1,Started very late.,More hands-on activities.,No
2024-04-13,Music Concert,Management,4th Year,2,"Not bad, but timing was off.",Start on time next time.,Yes
2024-02-21,AI Workshop,CS,3rd Year,3,"Not bad, but timing was off.",Invite more industry experts.,No
2024-02-21,Cultural Night,Electronics,2nd Year,2,Good but could be better.,Invite more industry experts.,No
2024-08-16,Hackathon,CS,2nd Year,5,Amazing event! learned a lot.,Invite more industry experts.,Yes
2024-10-14,Cultural Night,Electronics,2nd Year,4,Good but could be better.,Provide water bottles.,Yes
2024-05-13,Career Fair,Electronics,2nd Year,2,Decent effort by the team.,Send slides after the event.,Yes
2024-11-21,AI Workshop,Mechanical,1st Year,2,"Not bad, but timing was off.",Send slides after the event.,Yes
2024-01-25,Tech Fest 2024,Electronics,1st Year,4,It was okay.,Send slides after the event.,Yes
2024-08-07,Cultural Night,IT,3rd Year,3,"Not bad, but timing was off.",Invite more industry experts.,No
2024-02-10,Music Concert,Mechanical,1st Year,4,Amazing event! learned a lot.,Better microphone needed.,Yes
2024-03-25,AI Workshop,CS,4th Year,2,Average experience.,More hands-on activities.,No
2024-07-28,Music Concert,Civil,4th Year,1,Boring and unengaging.,Better microphone needed.,No
2024-10-11,Tech Fest 2024,Civil,3rd Year,2,Boring and unengaging.,Start on time next time.,No
2024-11-10,Cultural Night,Mechanical,4th Year,1,Speaker was inaudible.,Send slides after the event.,No
2024-06-24,Tech Fest 2024,Civil,4th Year,5,Really enjoyed the speakers.,More hands-on activities.,Yes
2024-09-15,Career Fair,Electronics,4th Year,4,Everything was perfect.,Start on time next time.,Yes
2024-06-12,Music Concert,IT,4th Year,3,Decent effort by the team.,"No suggestions, it was good.",Yes
2024-10-12,Career Fair,Mechanical,2nd Year,2,Boring and unengaging.,Better microphone needed.,No
2024-08-28,AI Workshop,Civil,1st Year,3,"Not bad, but timing was off.",Provide water bottles.,No
2024-09-03,Tech Fest 2024,CS,3rd Year,3,Decent effort by the team.,"No suggestions, it was good.",No
2024-01-08,Hackathon,IT,2nd Year,4,Best event of the year!,Invite more industry experts.,Yes
2024-12-18,Hackathon,Management,3rd Year,4,The food was delicious!,Invite more industry experts.,Yes
2024-05-25,AI Workshop,Mechanical,3rd Year,2,Average experience.,Send slides after the event.,Yes
2024-07-20,AI Workshop,Management,2nd Year,2,Boring and unengaging.,Start on time next time.,No
2024-08-12,Hackathon,Civil,2nd Year,4,Great categorization and well managed.,Invite more industry experts.,Yes
2024-04-14,Career Fair,Civil,3rd Year,3,It was okay.,Better microphone needed.,No
2024-11-03,Hackathon,Civil,3rd Year,2,It was okay.,Better microphone needed.,Yes
2024-01-16,AI Workshop,Civil,4th Year,4,Everything was perfect.,Keep the hall cooler.,Yes
2024-01-05,Tech Fest 2024,Electronics,2nd Year,2,Very poorly organized.,Invite more industry experts.,No
2024-11-23,Cultural Night,Management,4th Year,2,It was okay.,More hands-on activities.,No
2024-05-08,Music Concert,Mechanical,3rd Year,2,Decent effort by the team.,Keep the hall cooler.,Yes
2024-05-08,Hackathon,IT,3rd Year,3,It was okay.,Invite more industry experts.,No
2024-02-04,Hackathon,IT,1st Year,4,Average experience.,Better microphone needed.,Yes
2024-04-06,Hackathon,IT,4th Year,4,Average experience.,Keep the hall cooler.,No
2024-01-02,Career Fair,IT,3rd Year,5,Everything was perfect.,Keep the hall cooler.,Yes
2024-05-05,Tech Fest 2024,Mechanical,1st Year,5,Everything was perfect.,Send slides after the event.,Yes
2024-02-23,Hackathon,Mechanical,4th Year,2,Good but could be better.,Invite more industry experts.,Yes
2024-11-10,Hackathon,Electronics,1st Year,3,"Not bad, but timing was off.",More hands-on activities.,No
2024-05-22,Career Fair,Civil,1st Year,4,Great categorization and well managed.,Start on time next time.,Yes
2024-08-17,Career Fair,CS,1st Year,5,Everything was perfect.,Invite more industry experts.,Yes
2024-12-16,Tech Fest 2024,CS,2nd Year,2,Waste of time.,"No suggestions, it was good.",No
2024-05-03,Career Fair,Electronics,3rd Year,4,Really enjoyed the speakers.,Provide water bottles.,Yes
2024-08-04,Hackathon,Mechanical,1st Year,2,Boring and unengaging.,"No suggestions, it was good.",No
2024-07-12,Tech Fest 2024,Civil,2nd Year,1,Boring and unengaging.,Invite more industry experts.,No
2024-03-20,Career Fair,CS,4th Year,2,It was okay.,Better microphone needed.,No
2024-03-25,AI Workshop,Electronics,3rd Year,5,Really enjoyed the speakers.,More hands-on activities.,Yes
2024-09-21,Cultural Night,Civil,3rd Year,2,Average experience.,More hands-on activities.,Yes
2024-07-17,Hackathon,Civil,3rd Year,2,Very poorly organized.,Send slides after the event.,No
2024-11-27,Career Fair,IT,2nd Year,2,Started very late.,Provide water bottles.,No
2024-09-14,Hackathon,Electronics,2nd Year,5,Best event of the year!,Better microphone needed.,Yes
2024-09-19,Hackathon,IT,2nd Year,4,It was okay.,"No suggestions, it was good.",No
2024-05-06,Tech Fest 2024,IT,2nd Year,3,"Not bad, but timing was off.",Send slides after the event.,Yes
2024-08-01,Career Fair,Electronics,3rd Year,4,Everything was perfect.,"No suggestions, it was good.",Yes
2024-10-13,AI Workshop,Mechanical,4th Year,4,Great categorization and well managed.,Provide water bottles.,Yes
2024-04-16,Hackathon,Electronics,4th Year,5,Everything was perfect.,"No suggestions, it was good.",Yes
